dataset,model,representation,stage,accuracy,balanced_accuracy,f1,mcc,roc_auc
balanced,SVM,DPC,cv_mean,0.8976415094339621,0.8979279775571547,0.8919137075952438,0.8007323555909673,0.9517124572230801
balanced,SVM,DPC,cv_std,0.016830602467626694,0.01678691100965484,0.019615899462332095,0.031372835567597276,0.011029038355648396
balanced,SVM,DPC,test,0.9066037735849056,0.9069265302199074,0.9014925373134328,0.8187574235903837,0.9611557508072526
balanced,Random Forest,DPC,cv_mean,0.8875,0.8875030318974005,0.8878448390204066,0.7752022232771878,0.954123881463171
balanced,Random Forest,DPC,cv_std,0.017856904463647995,0.017829267626455154,0.018617654769175995,0.035552437891562705,0.012566060645107425
balanced,Random Forest,DPC,test,0.8981132075471698,0.8981526642007043,0.8979206049149339,0.7963280087820295,0.9622220007048998
balanced,Gradient Boosting,DPC,cv_mean,0.8587264150943396,0.859068546142019,0.8492554509308986,0.7245659414131008,0.9311574173730548
balanced,Gradient Boosting,DPC,cv_std,0.012684426235400809,0.012709503124972103,0.013955739631529003,0.025336216350408856,0.008860229140452942
balanced,Gradient Boosting,DPC,test,0.8650943396226415,0.8654798480549395,0.8559919436052367,0.7374079279429024,0.9435368167723424
imbalanced,SVM,DPC,cv_mean,0.9214942585229698,0.8943700151292677,0.8758684010109693,0.8253060990457355,0.954527899113417
imbalanced,SVM,DPC,cv_std,0.005447519930058237,0.006894991537425533,0.008986274140891072,0.012379612663063522,0.004231670331453983
imbalanced,SVM,DPC,test,0.925997425997426,0.9028809631876926,0.8848848848848849,0.8347872588456123,0.9604019162319251
imbalanced,Random Forest,DPC,cv_mean,0.9163452957138756,0.9005536499693225,0.8745758824613812,0.8127140330919811,0.955316239054677
imbalanced,Random Forest,DPC,cv_std,0.00902597719583614,0.00877388475260599,0.012841009876118295,0.020106173451231363,0.00747168285617774
imbalanced,Random Forest,DPC,test,0.9092664092664092,0.8910450887828398,0.8629737609329446,0.796433712230459,0.9593149856760378
imbalanced,Gradient Boosting,DPC,cv_mean,0.8807937957384505,0.842644940009461,0.8054670011101722,0.7317622364244357,0.9291116275813007
imbalanced,Gradient Boosting,DPC,cv_std,0.015211658839042725,0.019894993625808134,0.027232635382629513,0.034943861781246546,0.011508796980842083
imbalanced,Gradient Boosting,DPC,test,0.8861003861003861,0.8487549453962105,0.8146596858638744,0.7444703520572514,0.9377711583941725
