model,representation,dataset,stage,accuracy,balanced_accuracy,f1,mcc,roc_auc
SVM,DPC,balanced,cv_mean,0.8903301886792452,0.8904960184398533,0.8869660918432238,0.7832365905643519,0.9448631017773084
SVM,DPC,balanced,cv_std,0.0169171356985182,0.016886591559982397,0.018244084604491933,0.03317489111856565,0.015028669853909257
SVM,DPC,test,test_score,0.8962264150943396,0.8964260157854826,0.8929961089494164,0.7945737842842002,0.9569726335126436
SVM,DPC,imbalanced,cv_mean,0.9079795579166474,0.8829677179034372,0.8567986410745443,0.7934708283826285,0.9461625790912656
SVM,DPC,imbalanced,cv_std,0.008066060395111305,0.01004159885363025,0.012998184749265786,0.018423390712074682,0.014068823058066744
SVM,DPC,test,test_score,0.9163449163449163,0.8946384830381868,0.8712871287128713,0.8123419162902971,0.9611167361579439
Random Forest,DPC,balanced,cv_mean,0.9002358490566037,0.9003386568246793,0.8983087593714739,0.8016876251944154,0.9572077650530606
Random Forest,DPC,balanced,cv_std,0.018572270870386837,0.018558337424855333,0.019263169652767462,0.03699993459633716,0.007277444014865805
Random Forest,DPC,test,test_score,0.910377358490566,0.9105079906440576,0.9087415946205571,0.8217110514371078,0.9699830183238338
Random Forest,DPC,imbalanced,cv_mean,0.918922130574584,0.8974587898205659,0.8750527779918432,0.8183167446928847,0.959672581227762
Random Forest,DPC,imbalanced,cv_std,0.011931977164517176,0.014932936423591161,0.01906271334740782,0.02717227418456869,0.010575353913777074
Random Forest,DPC,test,test_score,0.9195624195624196,0.9015707662538842,0.8780487804878049,0.8196411439272001,0.9642654352408061
Gradient Boosting,DPC,balanced,cv_mean,0.8775943396226416,0.8777165436106324,0.8747323701632036,0.7568563059887767,0.9411228303514669
Gradient Boosting,DPC,balanced,cv_std,0.017663504097502634,0.01763266728911673,0.01917866619860097,0.03483535023361583,0.011954154967090071
Gradient Boosting,DPC,test,test_score,0.8971698113207547,0.8972893399930935,0.8954937679769894,0.7951322843924317,0.956171611051974
Gradient Boosting,DPC,imbalanced,cv_mean,0.8997776120871326,0.8752663015071711,0.8448556600689132,0.7747140525056055,0.9452340587792444
Gradient Boosting,DPC,imbalanced,cv_std,0.011749203286582702,0.015492439996089171,0.019614147310453557,0.026887007967781023,0.011329489554682302
Gradient Boosting,DPC,test,test_score,0.888030888030888,0.8645719441448163,0.8287401574803149,0.7478619104798803,0.9471327268083198
